Date,1. open,2. high,3. low,4. close,5. volume
2025-05-14,1923.95,1930.2,1903.15,1910.8,165682.0
2025-05-13,1944.05,1962.3,1920.5,1923.1,538724.0
2025-05-12,1920.0,1960.0,1914.0,1957.55,327403.0
2025-05-09,1905.15,1919.0,1886.45,1889.2,107594.0
2025-05-08,1955.0,1955.0,1918.1,1926.3,331040.0
2025-05-07,1930.6,1948.65,1922.3,1944.65,123501.0
2025-05-06,1935.95,1939.45,1924.0,1930.55,172594.0
2025-05-05,1938.8,1952.0,1933.0,1936.15,268311.0
2025-05-02,1930.0,1941.85,1920.6,1924.55,205709.0
2025-04-30,1914.45,1936.4,1910.2,1923.75,233615.0
2025-04-29,1924.85,1929.0,1900.0,1908.25,280226.0
2025-04-28,1910.0,1929.45,1909.95,1919.4,327548.0
2025-04-25,1922.05,1933.0,1891.9,1910.35,338662.0
2025-04-24,1911.95,1924.0,1903.55,1916.35,282082.0
2025-04-23,1969.3,1977.95,1920.2,1923.1,1208335.0
2025-04-22,1940.0,1970.65,1935.2,1961.9,890620.0
2025-04-21,1922.05,1950.0,1911.6,1927.55,494637.0
2025-04-17,1879.05,1919.35,1877.75,1906.55,408716.0
2025-04-16,1882.0,1882.05,1861.0,1877.9,358007.0
2025-04-15,1870.15,1875.9,1854.45,1864.9,1027801.0
2025-04-11,1774.0,1818.95,1774.0,1806.6,344590.0
2025-04-09,1767.75,1773.4,1753.45,1765.5,280853.0
2025-04-08,1764.1,1782.0,1750.6,1769.1,507374.0
2025-04-07,1760.0,1779.6,1738.05,1758.15,784420.0
2025-04-04,1808.0,1842.2,1807.95,1817.0,262330.0
2025-04-03,1779.05,1803.85,1776.7,1793.7,219013.0
2025-04-02,1767.3,1799.3,1767.3,1797.4,119365.0
2025-04-01,1800.0,1810.0,1765.0,1767.3,511068.0
2025-03-28,1830.0,1836.4,1806.75,1828.5,348897.0
2025-03-27,1799.5,1840.5,1798.7,1825.25,186393.0
2025-03-26,1824.0,1827.5,1802.5,1805.95,240192.0
2025-03-25,1801.25,1843.9,1801.25,1821.45,711824.0
2025-03-24,1780.0,1804.0,1773.45,1801.15,126190.0
2025-03-21,1749.55,1773.95,1749.55,1769.85,79048.0
2025-03-20,1750.2,1773.25,1749.15,1767.3,120267.0
2025-03-19,1734.0,1750.35,1732.0,1743.85,152217.0
2025-03-18,1724.25,1737.5,1715.5,1733.15,146908.0
2025-03-17,1705.8,1724.0,1705.4,1709.9,97366.0
2025-03-13,1714.9,1720.5,1700.0,1705.8,257562.0
2025-03-12,1688.85,1719.0,1688.85,1711.85,884523.0
2025-03-11,1684.3,1694.4,1670.3,1684.95,118232.0
2025-03-10,1688.35,1699.4,1683.0,1687.05,150454.0
2025-03-07,1686.95,1700.9,1677.35,1689.35,320468.0
2025-03-06,1688.95,1700.0,1672.6,1689.75,268369.0
2025-03-05,1705.0,1710.65,1688.3,1689.75,256085.0
2025-03-04,1699.0,1714.7,1694.45,1711.15,334001.0
2025-03-03,1735.25,1743.0,1694.15,1701.25,198233.0
2025-02-28,1681.3,1736.8,1681.3,1731.1,387232.0
2025-02-27,1683.55,1710.0,1683.55,1699.45,341742.0
2025-02-25,1672.0,1688.0,1672.0,1683.6,845599.0
2025-02-24,1680.1,1684.5,1661.6,1675.75,166249.0
2025-02-21,1683.15,1694.8,1677.8,1691.55,106892.0
2025-02-20,1715.05,1715.1,1685.0,1686.4,265310.0
2025-02-19,1718.65,1737.9,1713.05,1726.95,59133.0
2025-02-18,1715.0,1731.6,1706.35,1722.5,131530.0
2025-02-17,1686.05,1720.0,1681.05,1717.25,200455.0
2025-02-14,1700.05,1700.35,1679.55,1695.0,460544.0
2025-02-13,1699.95,1714.0,1693.65,1697.75,84193.0
2025-02-12,1691.0,1711.6,1681.55,1707.05,143452.0
2025-02-11,1706.0,1710.55,1688.2,1699.9,395827.0
2025-02-10,1715.3,1723.75,1708.9,1715.4,189950.0
2025-02-07,1750.55,1767.4,1725.1,1732.1,368361.0
2025-02-06,1735.35,1747.45,1724.05,1744.7,166115.0
2025-02-05,1731.05,1744.0,1718.7,1737.5,229559.0
2025-02-04,1690.0,1726.0,1680.2,1722.25,333378.0
2025-02-03,1670.0,1686.65,1665.05,1680.15,116425.0
2025-01-31,1688.95,1703.75,1684.05,1699.25,1956949.0
2025-01-30,1677.35,1696.3,1673.55,1692.1,81098.0
2025-01-29,1675.0,1681.3,1668.85,1677.1,166662.0
2025-01-28,1644.0,1684.0,1644.0,1670.55,425286.0
2025-01-27,1640.0,1641.6,1626.4,1629.7,87143.0
2025-01-24,1663.95,1670.65,1645.0,1649.55,197152.0
2025-01-23,1682.7,1685.0,1651.75,1664.8,1839586.0
2025-01-22,1644.95,1671.85,1625.3,1665.05,1337581.0
2025-01-21,1660.0,1660.45,1632.75,1641.75,1175585.0
2025-01-20,1632.95,1660.75,1628.0,1651.25,258901.0
2025-01-17,1644.95,1650.15,1628.75,1636.7,183424.0
2025-01-16,1655.75,1660.0,1643.25,1652.75,61998.0
2025-01-15,1658.0,1662.65,1636.25,1642.75,73210.0
2025-01-14,1635.0,1656.25,1635.0,1644.25,460142.0
2025-01-13,1640.0,1646.45,1624.25,1630.1,769153.0
2025-01-10,1670.0,1675.0,1654.15,1657.15,633334.0
2025-01-09,1689.65,1689.65,1658.85,1667.75,165421.0
2025-01-08,1711.0,1712.05,1683.0,1694.15,251904.0
2025-01-07,1710.35,1721.45,1700.0,1714.1,264321.0
2025-01-06,1739.9,1757.45,1705.0,1710.3,1741889.0
2025-01-03,1794.8,1794.8,1746.3,1749.3,402803.0
2025-01-02,1780.5,1803.0,1774.1,1793.35,79075.0
2025-01-01,1775.0,1794.4,1762.0,1782.45,110695.0
2024-12-31,1770.05,1781.35,1768.0,1772.45,107155.0
2024-12-30,1794.95,1815.0,1771.35,1778.7,292506.0
2024-12-27,1790.25,1803.0,1789.5,1797.85,218692.0
2024-12-26,1797.5,1811.4,1781.75,1791.75,104648.0
2024-12-24,1803.95,1806.15,1789.1,1797.65,196465.0
2024-12-23,1780.0,1805.9,1780.0,1801.0,143342.0
2024-12-20,1787.95,1797.35,1766.9,1772.05,249342.0
2024-12-19,1795.05,1800.2,1779.0,1793.45,186084.0
2024-12-18,1832.5,1835.65,1807.45,1811.2,102823.0
2024-12-17,1856.05,1862.25,1826.35,1832.85,104055.0
2024-12-16,1863.0,1870.0,1855.1,1864.8,133759.0
